STT,name,sec_code,stock_exchange
1,CTCP Bao bì Dầu khí Việt Nam,PBP,HNX
2,CTCP Bao bì và In nông nghiệp,INN,HNX
3,CTCP Bao bì Đạm Phú Mỹ,PMP,HNX
4,CTCP Bia Hà Nội - Hải Dương,HAD,HNX
5,CTCP Bia Thanh Hóa,THB,HNX
6,CTCP Bảo vệ thực vật Sài Gòn,SPC,HNX
7,CTCP Bến xe miền Tây,WCS,HNX
8,CTCP Bọc ống dầu khí Việt Nam,PVB,HNX
9,CTCP CNC Capital Việt Nam,KSQ,HNX
10,CTCP Chế tạo máy - Vinacomin,CTT,HNX
11,CTCP Cokyvina,CKV,HNX
12,CTCP Container miền Trung,VSM,HNX
13,CTCP Công nghiệp Tung Kuang,TKU,HNX
14,CTCP Công nghiệp thương mại Sông Đà,STP,HNX
15,CTCP Công trình giao thông Vận tải Quảng Nam,QTC,HNX
16,CTCP Cơ khí Xăng dầu,PMS,HNX
17,CTCP Cơ khí và Khoáng sản Hà Giang,HGM,HNX
18,CTCP Cảng An Giang,CAG,HNX
19,CTCP Cảng Cam Ranh,CCR,HNX
20,CTCP Cảng Nghệ Tĩnh,NAP,HNX
21,CTCP Cảng Rau quả,VGP,HNX
22,CTCP Cảng Đoạn Xá,DXP,HNX
23,CTCP Cảng Đà Nẵng,CDN,HNX
24,CTCP Cấp Nước Gia Định,GDW,HNX
25,CTCP Dược liệu Việt Nam,DVM,HNX
26,CTCP Dược liệu và thực phẩm Việt Nam,VHE,HNX
27,CTCP Dược phẩm Dược liệu Pharmedic,PMC,HNX
28,CTCP Dược phẩm Hà Tây,DHT,HNX
29,CTCP Dược phẩm Phong Phú,PPP,HNX
30,CTCP Dược phẩm Tipharco,DTG,HNX
31,CTCP Dược phẩm trung ương 3,DP3,HNX
32,CTCP Dược thú y Cai Lậy,MKV,HNX
33,CTCP Dịch vụ Bến Thành,BSC,HNX
34,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,MAS,HNX
35,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,PPS,HNX
36,CTCP Dịch vụ phân phối tổng hợp dầu khí,PSD,HNX
37,CTCP Dịch vụ vận tải và thương mại,TJC,HNX
38,CTCP G-AUTOMOBILE,GMA,HNX
39,CTCP GKM HOLDINGS,GKM,HNX
40,CTCP Giao nhận Vận tải Ngoại thương,VNT,HNX
41,CTCP Gạch Men Thanh Thanh,TTC,HNX
42,CTCP Gạch Ngói Cao Cấp,MCC,HNX
43,CTCP Gạch ngói Nhị Hiệp,NHC,HNX
44,CTCP Gạch ngói gốm xây dựng Mỹ Xuân,GMX,HNX
